INCIDENT_AREA,VICTIM_AGE,CRIME,EXACT_LOCATION
Harbor,14,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Wilshire,33,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,41,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Harbor,0,VEHICLE - STOLEN,STREET
Newton,51,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",OTHER STORE
Mission,8,SEXUAL PENETRATION W/FOREIGN OBJECT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,30,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",OTHER BUSINESS
Southeast,3,ORAL COPULATION,SINGLE FAMILY DWELLING
Central,55,"BUNCO, GRAND THEFT","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Central,0,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",HIGH SCHOOL
Central,28,BURGLARY FROM VEHICLE,STREET
77th Street,0,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,SINGLE FAMILY DWELLING
N Hollywood,33,INTIMATE PARTNER - AGGRAVATED ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,28,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Hollywood,49,THEFT OF IDENTITY,OTHER PREMISE
Wilshire,44,THEFT OF IDENTITY,MAIL BOX
Southeast,23,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Newton,31,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West LA,37,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
West Valley,13,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,20,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Rampart,43,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),PARKING LOT
Hollywood,58,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Foothill,22,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Hollywood,58,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Foothill,43,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Southwest,13,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Hollenbeck,50,"RAPE, FORCIBLE",SINGLE FAMILY DWELLING
Wilshire,27,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Devonshire,62,VANDALISM - MISDEAMEANOR ($399 OR UNDER),OTHER RESIDENCE
Foothill,16,CHILD ANNOYING (17YRS & UNDER),SINGLE FAMILY DWELLING
Olympic,10,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Devonshire,46,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
Olympic,11,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Hollywood,28,BURGLARY FROM VEHICLE,STREET
Harbor,18,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Pacific,50,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Southwest,29,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Topanga,19,PICKPOCKET,HOSPITAL
Foothill,6,SEXUAL PENETRATION W/FOREIGN OBJECT,SINGLE FAMILY DWELLING
Rampart,17,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,52,BURGLARY FROM VEHICLE,"VEHICLE, PASSENGER/TRUCK"
Devonshire,31,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Olympic,89,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,27,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Newton,32,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Harbor,25,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Foothill,55,ARSON,STREET
Wilshire,32,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,44,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Devonshire,44,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
West LA,70,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Northeast,37,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,21,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
77th Street,0,VEHICLE - STOLEN,STREET
Harbor,0,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,POLICE FACILITY
Van Nuys,59,EXTORTION,SINGLE FAMILY DWELLING
Rampart,35,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
N Hollywood,15,BATTERY WITH SEXUAL CONTACT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,33,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Pacific,18,DISTURBING THE PEACE,SINGLE FAMILY DWELLING
77th Street,8,"RAPE, FORCIBLE",SINGLE FAMILY DWELLING
N Hollywood,14,ORAL COPULATION,STREET
Wilshire,33,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Pacific,0,VEHICLE - STOLEN,GARAGE/CARPORT
Pacific,-2,CRIMINAL THREATS - NO WEAPON DISPLAYED,SINGLE FAMILY DWELLING
Harbor,53,BURGLARY FROM VEHICLE,PARKING LOT
77th Street,32,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Topanga,35,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,36,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Rampart,54,THEFT OF IDENTITY,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"
Hollenbeck,27,BURGLARY,PUBLIC STORAGE
77th Street,59,"BUNCO, ATTEMPT",SINGLE FAMILY DWELLING
Mission,52,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
Pacific,77,"BUNCO, GRAND THEFT",SINGLE FAMILY DWELLING
N Hollywood,58,THEFT OF IDENTITY,STREET
West Valley,61,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",OTHER BUSINESS
77th Street,22,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,STREET
West Valley,31,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Newton,18,CRIMINAL THREATS - NO WEAPON DISPLAYED,SINGLE FAMILY DWELLING
Newton,0,VEHICLE - STOLEN,STREET
Hollywood,46,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",HOTEL
Central,23,"RAPE, FORCIBLE","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Olympic,54,BURGLARY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Topanga,32,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Wilshire,50,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West Valley,56,CRIMINAL THREATS - NO WEAPON DISPLAYED,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Topanga,41,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Northeast,37,THEFT OF IDENTITY,OTHER PREMISE
West Valley,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Mission,7,ORAL COPULATION,SINGLE FAMILY DWELLING
Hollywood,37,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,42,THEFT PLAIN - PETTY ($950 & UNDER),BUS STOP
Southwest,32,BURGLARY FROM VEHICLE,GARAGE/CARPORT
West LA,56,THEFT OF IDENTITY,WEBSITE
Northeast,0,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,POLICE FACILITY
Southwest,60,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Newton,29,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Newton,26,THEFT OF IDENTITY,CYBERSPACE
Olympic,29,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Devonshire,35,INTIMATE PARTNER - AGGRAVATED ASSAULT,STREET
Topanga,0,VEHICLE - STOLEN,STREET
West Valley,48,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
N Hollywood,23,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Southwest,0,VEHICLE - STOLEN,STREET
Southwest,42,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),SINGLE FAMILY DWELLING
Foothill,22,THEFT OF IDENTITY,WEBSITE
77th Street,47,THEFT OF IDENTITY,ABANDONED BUILDING ABANDONED HOUSE
N Hollywood,30,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Newton,43,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
Mission,10,CHILD ANNOYING (17YRS & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southeast,51,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Southeast,33,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West LA,42,SHOPLIFTING - PETTY THEFT ($950 & UNDER),SINGLE FAMILY DWELLING
77th Street,52,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",SINGLE FAMILY DWELLING
Foothill,57,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West LA,41,BURGLARY,PARKING LOT
77th Street,12,"RAPE, FORCIBLE",SINGLE FAMILY DWELLING
West Valley,26,PEEPING TOM,SINGLE FAMILY DWELLING
Central,28,PICKPOCKET,NIGHT CLUB (OPEN EVENINGS ONLY)
Topanga,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Wilshire,32,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",OFFICE BUILDING/OFFICE
Olympic,52,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
N Hollywood,41,THEFT OF IDENTITY,FINANCE COMPANY
Foothill,12,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",SINGLE FAMILY DWELLING
Foothill,20,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Hollywood,14,BATTERY - SIMPLE ASSAULT,JUNIOR HIGH SCHOOL
N Hollywood,32,THEFT OF IDENTITY,AUTOMATED TELLER MACHINE (ATM)
Northeast,0,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,POLICE FACILITY
West LA,53,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,24,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,31,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West Valley,83,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,31,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Wilshire,65,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
N Hollywood,91,THEFT OF IDENTITY,OTHER BUSINESS
West LA,32,BIKE - STOLEN,PARKING LOT
77th Street,47,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Southwest,40,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Rampart,0,VEHICLE - STOLEN,STREET
Topanga,41,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West LA,82,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
Mission,31,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Hollywood,25,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,39,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West Valley,54,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Rampart,28,VIOLATION OF COURT ORDER,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Devonshire,0,DOCUMENT FORGERY / STOLEN FELONY,OTHER BUSINESS
Newton,30,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),PARKING LOT
Van Nuys,33,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,52,THEFT PLAIN - PETTY ($950 & UNDER),OTHER PREMISE
Central,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Hollywood,58,THEFT OF IDENTITY,OTHER PREMISE
Southwest,56,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,52,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West LA,47,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Rampart,49,CRIMINAL THREATS - NO WEAPON DISPLAYED,SIDEWALK
Pacific,0,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",OTHER BUSINESS
77th Street,36,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
Foothill,14,ORAL COPULATION,PARK/PLAYGROUND
Wilshire,19,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",OTHER BUSINESS
Hollenbeck,75,THEFT OF IDENTITY,OTHER RESIDENCE
Rampart,19,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Mission,18,"RAPE, FORCIBLE",PARKING LOT
Central,23,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,42,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Mission,37,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",OTHER BUSINESS
Southeast,21,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Hollywood,34,OTHER MISCELLANEOUS CRIME,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,34,PICKPOCKET,COLISEUM
Devonshire,30,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
Hollenbeck,56,DOCUMENT FORGERY / STOLEN FELONY,BANK
N Hollywood,59,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
N Hollywood,13,OTHER MISCELLANEOUS CRIME,SINGLE FAMILY DWELLING
Harbor,24,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
Hollywood,49,"BUNCO, GRAND THEFT",HEALTH SPA/GYM
Newton,39,SEXUAL PENETRATION W/FOREIGN OBJECT,SINGLE FAMILY DWELLING
Devonshire,72,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Devonshire,40,THEFT OF IDENTITY,OTHER BUSINESS
Pacific,31,THEFT PLAIN - PETTY ($950 & UNDER),PARKING LOT
Southeast,30,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"VEHICLE, PASSENGER/TRUCK"
Van Nuys,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
N Hollywood,0,VEHICLE - STOLEN,STREET
Devonshire,33,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Wilshire,36,THEFT OF IDENTITY,MOTEL
Newton,16,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,5,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Rampart,32,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Newton,42,THEFT OF IDENTITY,CYBERSPACE
Olympic,36,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Central,0,VEHICLE - STOLEN,STREET
West LA,68,BURGLARY,PUBLIC STORAGE
77th Street,23,BRANDISH WEAPON,SINGLE FAMILY DWELLING
Northeast,54,VANDALISM - MISDEAMEANOR ($399 OR UNDER),SINGLE FAMILY DWELLING
Northeast,7,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Rampart,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
West Valley,28,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Olympic,75,DOCUMENT FORGERY / STOLEN FELONY,SINGLE FAMILY DWELLING
West LA,55,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Pacific,16,"RAPE, FORCIBLE",SINGLE FAMILY DWELLING
Hollywood,49,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Harbor,49,THEFT OF IDENTITY,OTHER STORE
77th Street,37,THEFT OF IDENTITY,OTHER RESIDENCE
Wilshire,0,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",OTHER BUSINESS
West LA,29,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southeast,34,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Newton,0,VEHICLE - STOLEN,STREET
Southeast,28,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Central,39,THEFT OF IDENTITY,CYBERSPACE
77th Street,0,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",OTHER BUSINESS
Southeast,13,"RAPE, FORCIBLE",SINGLE FAMILY DWELLING
Central,0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",OTHER BUSINESS
West Valley,70,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,54,"BUNCO, GRAND THEFT",CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE)
77th Street,40,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Van Nuys,41,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Harbor,22,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Van Nuys,59,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Southwest,23,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Wilshire,53,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
N Hollywood,30,CONTEMPT OF COURT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,0,VEHICLE - STOLEN,STREET
Mission,31,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"VEHICLE, PASSENGER/TRUCK"
West Valley,48,BURGLARY,PUBLIC STORAGE
Mission,9,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),PARK/PLAYGROUND
Devonshire,22,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Olympic,21,INTIMATE PARTNER - AGGRAVATED ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
N Hollywood,33,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
N Hollywood,0,VEHICLE - STOLEN,GARAGE/CARPORT
Hollywood,53,BURGLARY,PUBLIC STORAGE
West Valley,62,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Olympic,48,BURGLARY,PUBLIC STORAGE
Harbor,13,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
Southeast,34,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Wilshire,60,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Harbor,36,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
N Hollywood,16,INTIMATE PARTNER - AGGRAVATED ASSAULT,SINGLE FAMILY DWELLING
N Hollywood,25,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Mission,19,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Pacific,33,THEFT OF IDENTITY,OTHER PREMISE
N Hollywood,33,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,31,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Topanga,16,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),SINGLE FAMILY DWELLING
N Hollywood,40,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Harbor,33,BURGLARY FROM VEHICLE,PARKING LOT
77th Street,27,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Topanga,34,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
West LA,0,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",OTHER BUSINESS
77th Street,10,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Pacific,23,BATTERY - SIMPLE ASSAULT,ALLEY
Southeast,76,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Pacific,30,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Northeast,50,THEFT OF IDENTITY,OTHER PREMISE
Central,31,"RAPE, FORCIBLE",HOTEL
77th Street,56,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Hollenbeck,0,VEHICLE - STOLEN,STREET
Foothill,74,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
Central,43,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,20,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Rampart,44,THEFT OF IDENTITY,OTHER PREMISE
77th Street,46,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Devonshire,42,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Mission,41,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Southeast,24,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Olympic,43,VIOLATION OF COURT ORDER,POLICE FACILITY
Rampart,31,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
N Hollywood,34,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Pacific,56,DISTURBING THE PEACE,STREET
Southeast,30,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,30,VIOLATION OF RESTRAINING ORDER,SINGLE FAMILY DWELLING
Southeast,11,CHILD ANNOYING (17YRS & UNDER),SINGLE FAMILY DWELLING
Harbor,35,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
Topanga,-1,THEFT OF IDENTITY,STREET
Pacific,22,THEFT OF IDENTITY,OTHER RESIDENCE
Central,0,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"
Rampart,37,CRIMINAL THREATS - NO WEAPON DISPLAYED,SINGLE FAMILY DWELLING
Foothill,65,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
N Hollywood,25,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Devonshire,52,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),DRIVEWAY
West LA,13,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
Devonshire,23,INTIMATE PARTNER - AGGRAVATED ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Topanga,45,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Foothill,13,SEXUAL PENETRATION W/FOREIGN OBJECT,SINGLE FAMILY DWELLING
Central,31,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
N Hollywood,0,VEHICLE - STOLEN,DRIVEWAY
Pacific,-1,BURGLARY,OTHER BUSINESS
N Hollywood,33,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Pacific,44,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
N Hollywood,28,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West Valley,30,"RAPE, FORCIBLE",SINGLE FAMILY DWELLING
Rampart,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),OTHER PREMISE
Olympic,35,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Central,48,THEFT PLAIN - PETTY ($950 & UNDER),UNDERPASS/BRIDGE*
West Valley,50,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",PARKING LOT
77th Street,38,BURGLARY,SINGLE FAMILY DWELLING
Devonshire,37,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
N Hollywood,25,THEFT OF IDENTITY,OTHER PREMISE
Rampart,46,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West Valley,69,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Harbor,26,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollywood,45,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Rampart,10,CHILD ANNOYING (17YRS & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West Valley,16,"RAPE, FORCIBLE",HOTEL
Wilshire,0,VEHICLE - STOLEN,STREET
N Hollywood,52,BURGLARY,GARAGE/CARPORT
Southeast,33,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Central,52,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Devonshire,65,"BUNCO, GRAND THEFT",SINGLE FAMILY DWELLING
Southeast,-1,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,POLICE FACILITY
Topanga,61,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,16,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Olympic,0,VEHICLE - STOLEN,STREET
Rampart,35,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Mission,14,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",SINGLE FAMILY DWELLING
